a,b,bray_b,bray_f,dist_geo,dist_climate,dist_soil
CCCHF2,CCCHF2,0,0,0,0,0
CCCHF2,CCCHF3,82.26869092,55.45431618,0,0,24.97595872
CCCHF2,CCCHF5,62.73020331,36.47337538,0,0,31.66638072
CCCHF2,CCCSF1,82.22510352,46.65288744,0,0,46.69423025
CCCHF2,CCCSF3,82.04057777,60.41533338,0,0,42.66391498
CCCHF2,CCCSF4,81.87870315,45.75167637,0,0,32.10105083
CCCHF2,CCMEF1,71.83626929,57.74429691,0,0,47.73814155
CCCHF2,CCMEF4,74.4892777,65.40043002,0,0,42.78871565
CCCHF2,CCMEF5,58.23575708,48.90857587,0,0,50.48018134
CCCHF2,HDCHF2,8.50877193,25.5381013,73.55307958,29.76084727,151.3172401
CCCHF2,HDCHF4,13.46497004,28.18484163,73.55307958,29.76084727,170.6730215
CCCHF2,HDCHF5,11.91012276,26.07561253,73.55307958,29.76084727,143.2811541
CCCHF2,HDCSF1,16.01633357,16.90829672,73.55307958,29.76084727,121.3293071
CCCHF2,HDCSF2,11.4860755,26.30426971,73.55307958,29.76084727,121.8268264
CCCHF2,HDCSF4,5.167932243,30.13831087,73.55307958,29.76084727,127.62678
CCCHF2,HDMEF2,21.77884496,21.21734976,73.55307958,29.76084727,132.1834997
CCCHF2,HDMEF3,22.44758172,27.88133158,73.55307958,29.76084727,130.044043
CCCHF2,HDMEF5,26.23442919,21.45987977,73.55307958,29.76084727,141.8902783
CCCHF2,HSPCHF1,24.72124338,19.67109242,116.6382244,172.3160203,114.4337249
CCCHF2,HSPCHF2,25.77344326,21.7218124,116.6382244,172.3160203,107.1824534
CCCHF2,HSPCHF3,24.57901609,16.41764932,116.6382244,172.3160203,83.97762538
CCCHF2,HSPCSF2,23.00922725,23.95618575,118.7150386,172.3160203,121.1470782
CCCHF2,HSPCSF3,26.63655357,19.79474202,118.7150386,172.3160203,119.9854359
CCCHF2,HSPCSF5,23.7932119,22.81380131,118.7150386,172.3160203,124.9659462
CCCHF2,HSPMEF3,28.78168022,21.47023189,117.4997666,172.3160203,119.4813068
CCCHF2,HSPMEF4,28.39613477,22.23337444,117.4997666,172.3160203,121.4170348
CCCHF2,HSPMEF5,29.534805,19.43408164,117.4997666,172.3160203,125.11292
CCCHF2,SSBCHF1,82.42331847,26.39126052,14.84837483,91.40002673,86.8719415
CCCHF2,SSBCHF3,82.64667106,25.92004336,14.84837483,91.40002673,84.32238121
CCCHF2,SSBCHF4,11.99359474,25.7076721,14.84837483,91.40002673,89.27576275
CCCHF2,SSBCSF1,83.34782357,24.43701388,14.84837483,91.40002673,148.3031091
CCCHF2,SSBCSF3,82.53622888,19.57380328,14.84837483,91.40002673,144.1345075
CCCHF2,SSBCSF4,82.57729744,22.57485542,14.84837483,91.40002673,143.8851939
CCCHF2,SSBMEF2,82.66686305,32.40314721,12.67627241,91.40002673,92.98300398
CCCHF2,SSBMEF4,82.41931145,38.85044598,12.67627241,91.40002673,91.44619944
CCCHF2,SSBMEF5,82.86797429,32.62918689,12.67627241,91.40002673,95.74742728
CCCHF2,XGCHF1,80.44359138,28.0925823,34.66539971,101.8312005,162.4848471
CCCHF2,XGCHF3,83.30571116,25.54127126,34.66539971,101.8312005,198.9341575
CCCHF2,XGCHF4,83.07314916,17.60525115,34.66539971,101.8312005,166.2187982
CCCHF2,XGCSF1,82.39836625,21.02529903,34.44545085,101.8312005,104.6600075
CCCHF2,XGCSF2,82.57775937,17.35652124,34.44545085,101.8312005,93.07648095
CCCHF2,XGCSF3,82.72560401,19.63318405,34.44545085,101.8312005,92.65075762
CCCHF2,XGMEF1,82.54632397,17.76770981,36.2446224,101.8312005,119.4452361
CCCHF2,XGMEF2,82.2626464,17.73021925,36.2446224,101.8312005,106.1616624
CCCHF2,XGMEF3,82.27913315,20.00819648,36.2446224,101.8312005,87.27222786
CCCHF2,YSCHF1,16.10036501,40.71922695,38.73616893,83.03735115,110.467562
CCCHF2,YSCHF4,8.371817274,28.26865611,38.73616893,83.03735115,112.3844406
CCCHF2,YSCHF5,12.92168261,18.76212403,38.73616893,83.03735115,113.5971758
CCCHF2,YSCSF1,26.82266986,22.25473543,33.85679581,77.00725583,112.9793471
CCCHF2,YSCSF3,25.20761411,22.849123,33.85679581,77.00725583,113.6585404
CCCHF2,YSCSF5,24.56592731,16.02147194,33.85679581,77.00725583,114.771653
CCCHF2,YSMEF1,32.95017173,14.28382507,38.73616893,77.00725583,101.3259777
CCCHF2,YSMEF3,29.23248844,13.31753029,38.73616893,77.00725583,102.1818914
CCCHF2,YSMEF4,29.20596236,16.41370623,38.73616893,77.00725583,105.469146
CCCHF3,CCCHF2,82.26869092,55.45431618,0,0,24.97595872
CCCHF3,CCCHF3,0,0,0,0,0
CCCHF3,CCCHF5,61.02766547,71.36761963,0,0,24.06485404
CCCHF3,CCCSF1,82.1642052,73.73018023,0,0,30.64299056
CCCHF3,CCCSF3,81.81780411,71.89254495,0,0,33.29874857
CCCHF3,CCCSF4,82.23884182,67.9524937,0,0,32.97358806
CCCHF3,CCMEF1,71.68362102,58.47210165,0,0,35.94421428
CCCHF3,CCMEF4,74.30761078,76.50869548,0,0,39.05688698
CCCHF3,CCMEF5,58.43425986,42.00078252,0,0,34.84649708
CCCHF3,HDCHF2,8.844277646,56.13061328,73.55307958,29.76084727,142.312623
CCCHF3,HDCHF4,13.43149272,58.33713584,73.55307958,29.76084727,162.8061584
CCCHF3,HDCHF5,12.2876379,54.35187445,73.55307958,29.76084727,133.4524835
CCCHF3,HDCSF1,16.37276334,22.6072523,73.55307958,29.76084727,108.1650187
CCCHF3,HDCSF2,11.72691871,27.53480796,73.55307958,29.76084727,106.346175
CCCHF3,HDCSF4,5.915671148,27.46910388,73.55307958,29.76084727,115.0809886
CCCHF3,HDMEF2,22.23481489,25.48657927,73.55307958,29.76084727,119.437142
CCCHF3,HDMEF3,22.49619166,23.12563625,73.55307958,29.76084727,116.9515409
CCCHF3,HDMEF5,26.73035054,18.02687995,73.55307958,29.76084727,130.2608132
CCCHF3,HSPCHF1,24.25566878,13.48418543,116.6382244,172.3160203,100.5854244
CCCHF3,HSPCHF2,25.11875421,16.61538899,116.6382244,172.3160203,95.69805202
CCCHF3,HSPCHF3,24.01802364,12.77102099,116.6382244,172.3160203,71.88154884
CCCHF3,HSPCSF2,23.29137149,19.16632583,118.7150386,172.3160203,106.4039412
CCCHF3,HSPCSF3,26.01478189,15.38728798,118.7150386,172.3160203,106.0391487
CCCHF3,HSPCSF5,23.64574522,18.4200763,118.7150386,172.3160203,111.4114105
CCCHF3,HSPMEF3,25.54248211,15.50534415,117.4997666,172.3160203,105.3347427
CCCHF3,HSPMEF4,25.13928108,15.16137032,117.4997666,172.3160203,107.9262301
CCCHF3,HSPMEF5,27.60154927,12.96474612,117.4997666,172.3160203,112.1388365
CCCHF3,SSBCHF1,83.23616483,20.79174352,14.84837483,91.40002673,67.98498373
CCCHF3,SSBCHF3,83.72466847,25.96915939,14.84837483,91.40002673,65.29467558
CCCHF3,SSBCHF4,11.27888745,17.68080194,14.84837483,91.40002673,70.9545481
CCCHF3,SSBCSF1,83.60693565,18.27741505,14.84837483,91.40002673,139.7000962
CCCHF3,SSBCSF3,83.58349588,12.21092116,14.84837483,91.40002673,134.7816592
CCCHF3,SSBCSF4,83.3740409,16.11066136,14.84837483,91.40002673,134.0907205
CCCHF3,SSBMEF2,83.65585093,31.29867071,12.67627241,91.40002673,78.13618339
CCCHF3,SSBMEF4,83.35064429,45.50531792,12.67627241,91.40002673,76.05947072
CCCHF3,SSBMEF5,82.15038593,41.53761246,12.67627241,91.40002673,80.7157146
CCCHF3,XGCHF1,80.54242491,23.66273168,34.66539971,101.8312005,159.0066267
CCCHF3,XGCHF3,83.40192496,20.65743651,34.66539971,101.8312005,194.540912
CCCHF3,XGCHF4,83.20766625,11.66396999,34.66539971,101.8312005,161.5520966
CCCHF3,XGCSF1,83.45320189,15.98541426,34.44545085,101.8312005,91.37411072
CCCHF3,XGCSF2,83.4094544,11.55374817,34.44545085,101.8312005,77.74491698
CCCHF3,XGCSF3,83.07122577,13.19130698,34.44545085,101.8312005,77.56004072
CCCHF3,XGMEF1,83.61962835,11.60896276,36.2446224,101.8312005,112.6320418
CCCHF3,XGMEF2,83.04357531,11.18979964,36.2446224,101.8312005,97.70756225
CCCHF3,XGMEF3,83.38943242,13.98893669,36.2446224,101.8312005,76.02262454
CCCHF3,YSCHF1,15.36510456,45.61966669,38.73616893,83.03735115,96.22329664
CCCHF3,YSCHF4,7.915194346,36.00400267,38.73616893,83.03735115,97.94070235
CCCHF3,YSCHF5,13.35763928,26.35031069,38.73616893,83.03735115,99.48471079
CCCHF3,YSCSF1,26.55029621,17.20593941,33.85679581,77.00725583,98.79353308
CCCHF3,YSCSF3,24.81266765,20.94644525,33.85679581,77.00725583,100.9171686
CCCHF3,YSCSF5,24.88942162,10.78995754,33.85679581,77.00725583,102.8866304
CCCHF3,YSMEF1,33.10405235,10.12633839,38.73616893,77.00725583,87.66129778
CCCHF3,YSMEF3,29.95576899,8.857853584,38.73616893,77.00725583,89.05645362
CCCHF3,YSMEF4,29.548094,13.71287806,38.73616893,77.00725583,92.39171365
CCCHF5,CCCHF2,62.73020331,36.47337538,0,0,31.66638072
CCCHF5,CCCHF3,61.02766547,71.36761963,0,0,24.06485404
CCCHF5,CCCHF5,0,0,0,0,0
