,CCCHF2,CCCHF3,CCCHF5,CCCSF1,CCCSF3,CCCSF4,CCMEF1,CCMEF4,CCMEF5,HDCHF2,HDCHF4,HDCHF5,HDCSF1,HDCSF2,HDCSF4,HDMEF2,HDMEF3,HDMEF5,HSPCHF1,HSPCHF2,HSPCHF3,HSPCSF2,HSPCSF3,HSPCSF5,HSPMEF3,HSPMEF4,HSPMEF5,SSBCHF1,SSBCHF3,SSBCHF4,SSBCSF1,SSBCSF3,SSBCSF4,SSBMEF2,SSBMEF4,SSBMEF5,XGCHF1,XGCHF3,XGCHF4,XGCSF1,XGCSF2,XGCSF3,XGMEF1,XGMEF2,XGMEF3,YSCHF1,YSCHF4,YSCHF5,YSCSF1,YSCSF3,YSCSF5,YSMEF1,YSMEF3,YSMEF4
trans_2_Pentenal,2.129719989,2.047649027,2.140786795,2.815488932,2.745252141,2.848704558,3.120896169,2.626358176,2.854674166,1.658634851,1.659894836,1.625151917,2.995094006,2.830990202,2.325429404,2.445536413,2.294585442,1.911508612,2.566363185,2.37978747,2.47250382,2.786959031,2.690864932,2.635605681,2.369317371,2.425550706,2.313084037,2.463861234,3.041797625,2.318072043,4.025662998,3.661784769,3.01281498,3.610622533,3.4083159,3.509469216,1.981172515,2.089181854,2.314911094,1.939318405,2.281052261,1.969201446,3.906053209,3.885540603,3.675233937,1.223935814,1.243097527,1.133592171,1.580868564,1.436697961,1.693252979,4.400004077,3.102469208,2.700622525
cis_3_Hexenal,801.5096479,662.296882,603.9633056,712.1386542,499.4942393,565.9616064,475.0918147,287.0512551,490.855226,323.3240481,372.9888003,295.3083127,387.92475,422.4330861,278.4661625,553.4408146,486.539459,383.5057717,410.1220037,483.1925998,351.3875234,497.6965318,356.3975421,338.4085021,274.8392019,301.1718933,248.5065104,915.3132623,829.1732113,718.3505384,1045.293225,676.1429564,643.1299749,1041.87303,1077.834991,1059.854011,418.5560597,415.3838705,426.4213213,389.3433316,346.0828543,290.1013759,621.3040911,496.6585432,591.8490363,268.7274383,340.7723684,292.6525872,254.2323816,201.3022424,191.185531,739.2108034,524.1974103,610.2432836
beta_Ionone,0.002474809,0.00321843,0.00284662,0.003360599,0.002448759,0.002904679,0.001121499,0.001028262,0.000935025,0.007972186,0.007744207,0.008580936,0.005603058,0.004430151,0.006817655,0.001095008,0.001910404,0.001502706,0.007575824,0.004805655,0.007246215,0.002661947,0.004424903,0.004808316,0.003104848,0.002931424,0.003278273,0.001859395,0.00229295,0.002706157,0.00096958,0.001416325,0.001412047,0.001350351,0.001534416,0.001442383,0.003627896,0.003447818,0.003807973,0.000989101,0.000800665,0.000681843,0.000452001,0.000565279,0.000480696,0.005239625,0.005616595,0.005341572,0.003059387,0.002681182,0.001964993,0.002779416,0.001777005,0.002528054
