Family,CCCHF2,CCCHF3,CCCHF5,CCCSF1,CCCSF3,CCCSF4,CCMEF1,CCMEF4,CCMEF5,HDCHF2,HDCHF4,HDCHF5,HDCSF1,HDCSF2,HDCSF4,HDMEF2,HDMEF3,HDMEF5,HSPCHF1,HSPCHF2,HSPCHF3,HSPCSF2,HSPCSF3,HSPCSF5,HSPMEF3,HSPMEF4,HSPMEF5,SSBCHF1,SSBCHF3,SSBCHF4,SSBCSF1,SSBCSF3,SSBCSF4,SSBMEF2,SSBMEF4,SSBMEF5,XGCHF1,XGCHF3,XGCHF4,XGCSF1,XGCSF2,XGCSF3,XGMEF1,XGMEF2,XGMEF3,YSCHF1,YSCHF4,YSCHF5,YSCSF1,YSCSF3,YSCSF5,YSMEF1,YSMEF3,YSMEF4
g__Altererythrobacter,0.0027894,0.001558783,0.001927968,0.004061039,0.00344573,0.002953483,0.001845927,0.00344573,0.001722865,0.000164082,0.000205103,0.000451227,0.0013947,0.001189597,0.000369185,0.00135368,0.001066535,0.00135368,0.001066535,0.000984494,0.000779391,0.00135368,0.001066535,0.001681844,0.001517762,0.001558783,0.002215112,0.002666339,0.002830421,0.006850439,0.002912462,0.002707359,0.0013947,0.002871441,0.00344573,0.002174091,0.0041841,0.002871441,0.002994503,0.004307162,0.002830421,0.003158586,0.002912462,0.002871441,0.002297153,0.006522274,0.013372713,0.000492247,0.001230618,0.000943474,0.002666339,0.001763885,0.003076544,0.002830421
g__Sphingomonas,0.027811962,0.032283206,0.02079744,0.030847485,0.031873,0.033349742,0.027770941,0.026950529,0.01870539,0.002420215,0.004512265,0.006563295,0.016941505,0.015505784,0.001230618,0.016162113,0.015300681,0.015833949,0.015751907,0.018049061,0.018172122,0.020633358,0.01936172,0.017884978,0.025309705,0.021002543,0.018500287,0.034908524,0.034908524,0.015874969,0.028837476,0.029862991,0.033800968,0.031216671,0.032611371,0.03183198,0.030601362,0.032283206,0.03392403,0.033883009,0.03531873,0.031544836,0.03252933,0.034252195,0.027811962,0.032242186,0.012101075,0.005906965,0.019074575,0.015341702,0.020879481,0.019074575,0.018213143,0.01866437
g__Sphingobium,0,0.000328165,0,0.000205103,4.10E-05,8.20E-05,8.20E-05,8.20E-05,4.10E-05,0,0.000246124,0,0,0,0,0.000328165,8.20E-05,0.000738371,0.000164082,0.000574288,0.000123062,0.000328165,0.000328165,0.000369185,0,0.000451227,0.000287144,0.000287144,0.000205103,0,8.20E-05,0.000123062,0.000123062,8.20E-05,0.000205103,0.000123062,8.20E-05,0.000164082,8.20E-05,0.000164082,8.20E-05,0.000246124,0.000246124,8.20E-05,0.000123062,0,0.000205103,4.10E-05,0.000492247,0.000164082,0.000574288,0.000164082,4.10E-05,0.000656329
g__Qipengyuania,0.000410206,0.000738371,0.000369185,0.000574288,0.001107556,0.000492247,0.000369185,0.000615309,0.000205103,0,0.000123062,8.20E-05,4.10E-05,0,0,0.000451227,0.000574288,0.000123062,0.001271638,0.000574288,0.000164082,0.000738371,8.20E-05,0.000287144,0.000533268,0.000574288,0.000861432,0.000943474,0.000738371,0.000779391,0.000779391,0.000574288,0.000615309,0.000861432,0.001271638,0.001107556,0.000943474,0.000902453,0.001066535,8.20E-05,0.000820412,0.000451227,0.000656329,0.000656329,0.000328165,0,0.000369185,0.000164082,4.10E-05,0.00069735,0.001271638,0.000123062,0.000410206,0.000328165
g__DSSF69,0.001230618,0.001107556,0.000820412,0.0013947,0.001107556,0.001271638,0.001107556,0.001148577,0.000984494,0,0,0,0,8.20E-05,0,0,0.000123062,0,0,0,0,0,4.10E-05,0,0,0,0,0.001148577,0.000943474,0,0.001681844,0.001599803,0.001435721,0.001230618,0.001230618,0.000902453,0.002010009,0.000943474,0.001271638,0.001107556,0.002215112,0.002338174,0.00205103,0.001599803,0.001804906,0,0,4.10E-05,0,8.20E-05,0,4.10E-05,0.000287144,0
g__Novosphingobium,0.001025515,0.000574288,0.000656329,0.000615309,0.001312659,0.00069735,0.00069735,0.001066535,0.000410206,0.000451227,0.000287144,0.000287144,0.000820412,0.00069735,0.000328165,0.000287144,0.001107556,0.000533268,0.000779391,0.000287144,0.001312659,0.000738371,0.000615309,0.000451227,0.000861432,0.000861432,0.000984494,0.000615309,0.000656329,0.001148577,0.000984494,0.001066535,0.001189597,0.00069735,0.000492247,0.00135368,0.000779391,0.000738371,0.000861432,0.00069735,0.000574288,0.000738371,0.001189597,0.000533268,0.000574288,0.000656329,0.000533268,0.000205103,0.000779391,0.000574288,0.000738371,0.002461236,0.006604315,0.001271638
g__Sphingoaurantiacus,0.000492247,0.000492247,0.000328165,0.000164082,0.000164082,0.000943474,0.001066535,0.000287144,0.000492247,4.10E-05,4.10E-05,8.20E-05,0.000123062,8.20E-05,0,0,0.000287144,0,0.000164082,0,8.20E-05,4.10E-05,0,0,0.000492247,0.000123062,0.000533268,0.001025515,0.000328165,0.000984494,0.000410206,0.000656329,0.000779391,0.000246124,0.000410206,0.000779391,0.00069735,0.000287144,0.000615309,0.000492247,0.000738371,0.001025515,0.000615309,0.000656329,0.000615309,0.005906965,0.0027894,0,0.000123062,0.000164082,4.10E-05,0.000164082,0.000123062,4.10E-05
g__Sphingopyxis,0.000123062,0.000246124,0.000205103,0.000246124,0.000451227,0.000205103,0.000205103,0.000205103,0.000123062,0,0.000123062,0,0.000205103,8.20E-05,4.10E-05,4.10E-05,0.000205103,4.10E-05,8.20E-05,0.000123062,0.000287144,4.10E-05,0.000205103,4.10E-05,0.000123062,0.000164082,0.000410206,0.000123062,0.000533268,0,0.000164082,0,0.000410206,0.000205103,0.000164082,4.10E-05,0.000533268,0.000246124,0.000287144,0.000451227,0.000123062,4.10E-05,0.000246124,0.000164082,4.10E-05,8.20E-05,0.000369185,4.10E-05,0.000123062,0.000205103,0.000205103,0.000246124,0.001189597,0.000123062
g__,0.005660842,0.007219624,0.003404709,0.006071048,0.005824924,0.006153089,0.00484043,0.004635327,0.002953483,0.00069735,0.000943474,0.0013947,0.001517762,0.000369185,0.000205103,0.005865945,0.005660842,0.007465748,0.005824924,0.006440233,0.005209615,0.007424727,0.005865945,0.007301665,0.005578801,0.005250636,0.005742883,0.006686357,0.005373698,0.002338174,0.005701862,0.006686357,0.005824924,0.006112068,0.005373698,0.007096562,0.006440233,0.006809418,0.007465748,0.006276151,0.005865945,0.006481254,0.007711871,0.006686357,0.006481254,0.002174091,0.000861432,0.001517762,0.006153089,0.006071048,0.007383707,0.00902453,0.005496759,0.005865945
