Taxa,CCCHF2,CCCHF3,CCCHF5,CCCSF1,CCCSF3,CCCSF4,CCMEF1,CCMEF4,CCMEF5,HDCHF2,HDCHF4,HDCHF5,HDCSF1,HDCSF2,HDCSF4,HDMEF2,HDMEF3,HDMEF5,HSPCHF1,HSPCHF2,HSPCHF3,HSPCSF2,HSPCSF3,HSPCSF5,HSPMEF3,HSPMEF4,HSPMEF5,SSBCHF1,SSBCHF3,SSBCHF4,SSBCSF1,SSBCSF3,SSBCSF4,SSBMEF2,SSBMEF4,SSBMEF5,XGCHF1,XGCHF3,XGCHF4,XGCSF1,XGCSF2,XGCSF3,XGMEF1,XGMEF2,XGMEF3,YSCHF1,YSCHF4,YSCHF5,YSCSF1,YSCSF3,YSCSF5,YSMEF1,YSMEF3,YSMEF4
p__Verrucomicrobia_c__Verrucomicrobiae_o__Opitutales_f__Opitutaceae,0.000574288,0.000492247,0.000615309,0.000738371,0.000287144,0.000738371,0.000369185,0.000861432,0.000164082,0,0.000123062,0,0.000287144,0,0,0.000410206,0.001927968,0,0,0,0.000369185,0.000287144,0.000492247,0.000205103,0.000205103,0,4.10E-05,0.001148577,0.000164082,0,0.000615309,0.000492247,0.000574288,0.000779391,0.000615309,0.000410206,0.00069735,0.000820412,0.000820412,0.000410206,0.001640824,0.000287144,0.000656329,0.000574288,0.000369185,0,0,0,0.000246124,0.000205103,0.000492247,0.000246124,0.000369185,0.000328165
p__Proteobacteria_c__Alphaproteobacteria_o__Rhodovibrionales_f__Kiloniellaceae,0.000123062,0.000164082,0,0.000164082,0.000123062,4.10E-05,0,8.20E-05,8.20E-05,4.10E-05,4.10E-05,0.000246124,0.000246124,0.000164082,0.000123062,0.001763885,0.000451227,0.000574288,0.001066535,0.000287144,0.000328165,0.0013947,0.000164082,0.001312659,0.000779391,0.000902453,0.001312659,0,4.10E-05,0.000492247,0.000123062,4.10E-05,8.20E-05,0,0,4.10E-05,0,0.000123062,8.20E-05,4.10E-05,8.20E-05,4.10E-05,0.000123062,0.000205103,8.20E-05,4.10E-05,0,0.000328165,0.000861432,0.00069735,0.002174091,0.001640824,0.000656329,0.000861432
p__Firmicutes_c__Negativicutes_o__Selenomonadales_f__Veillonellaceae,0.000492247,0.000205103,0.000451227,0.00069735,0.000287144,0.000451227,0.000123062,0.000123062,8.20E-05,0,0.000164082,0.000246124,0.000164082,0.000123062,0.001066535,0.000205103,0.000369185,0.000123062,0.001312659,0.000492247,0.000615309,0.000246124,0,0.000287144,0.000738371,8.20E-05,0.000123062,0.000246124,0.000246124,0.00069735,0.000123062,0.000246124,0.000369185,0.000369185,0.000328165,0.000410206,0.000164082,0.000205103,0.000287144,0.000287144,8.20E-05,0.000451227,0.000533268,0.000533268,0.000410206,0.002871441,0.000451227,0,0.000738371,4.10E-05,0.00069735,0.000246124,8.20E-05,8.20E-05
p__Firmicutes_c__Clostridia_o__Clostridiales_f__Family_XII,4.10E-05,0,4.10E-05,4.10E-05,0,4.10E-05,4.10E-05,0,0,4.10E-05,0.000451227,0.000287144,0.000246124,8.20E-05,0,0.000656329,0.000410206,0.000902453,0.000861432,0.000902453,0.000984494,0.000164082,0.000738371,0.001107556,0.001189597,0.001271638,0.001722865,0,0,0,0,4.10E-05,0,0,4.10E-05,0,0,0,0,0,0,0,0,0.000123062,0,0,0,0.000533268,0.000861432,0.000902453,0.001148577,0.001476741,0.001640824,0.001066535
p___c___o___f__,0.000205103,4.10E-05,0.000123062,8.20E-05,0,0,0.000123062,0.000246124,0.000123062,4.10E-05,0.000246124,8.20E-05,0,0.000123062,0,0.000164082,0,0.000164082,0.000451227,0.001599803,0.000246124,0.000738371,0.001435721,0.000410206,0.000492247,0.000328165,0.001189597,0.000123062,0,0,8.20E-05,0,4.10E-05,0,4.10E-05,8.20E-05,0,0.000205103,4.10E-05,0.000123062,0,4.10E-05,0.000205103,0.000205103,0.000492247,0,0,0.000369185,0.000656329,0.001845927,0.001681844,0.001804906,0.000902453,0.002379194
p__Armatimonadetes_c__Chthonomonadetes_o__Chthonomonadales_f__,4.10E-05,0.000164082,0.000328165,0.000369185,0.000164082,0.000410206,0.000164082,0.000246124,0.000246124,0,0.000164082,0.000246124,8.20E-05,0,0,0.000656329,4.10E-05,0.000738371,0.000533268,0.000861432,0.000533268,0.000943474,0.00069735,0.000287144,0.000902453,0.00069735,0.000943474,0.000492247,0.000205103,0,0.000492247,0.000246124,0.000164082,0.000246124,0.000492247,0.000574288,0.000410206,0.000615309,0.000410206,0.000123062,0.000328165,0.000205103,4.10E-05,0.000410206,0.000328165,0,0,0.000205103,0.000369185,0.000410206,0.000205103,0.000984494,0.000369185,0.001107556
p__Chloroflexi_c__TK10_o__bacterium_Ellin6543_f__,0.000779391,0.000410206,0.000451227,0.000574288,0.000779391,0.000779391,0.000902453,0.000615309,0.000123062,0,0,0.000123062,4.10E-05,0,0,4.10E-05,0,0,0,0,0,0.000123062,0.000410206,0,4.10E-05,0.000369185,8.20E-05,0.000492247,0.000287144,0.000328165,0.000656329,0.000574288,0.000574288,0.000615309,0.0013947,0.000533268,0.00069735,0.000533268,0.001476741,0.000328165,0.000533268,0.000533268,0.000328165,0.000328165,0.000615309,0,0,4.10E-05,0.000205103,0.000205103,0.000205103,0.000205103,0.000123062,0.000369185
p__Acidobacteria_c__Acidobacteriia_o__Acidobacteriales_f__Acidobacteriaceae_Subgroup_1,0.000164082,0.000533268,0.000656329,0.001066535,0.001599803,0.001476741,0.000902453,0.000328165,0.000451227,0,4.10E-05,8.20E-05,0,0,0,0,0,0,0,0,0,0,0,0.000287144,0,0,0,0.001025515,0.000738371,0,0.001066535,0.000533268,0.000410206,0.001025515,0.000738371,0.000246124,0.000287144,0.001025515,0.000287144,0.000410206,0.000738371,0.000861432,0.000779391,0.000410206,0.000246124,0,0,0,4.10E-05,0,8.20E-05,4.10E-05,0,0
p__Chloroflexi_c__Chloroflexia_o__Thermomicrobiales_f__Thermomicrobiaceae,0,0,0,0,0,0.000164082,0,0,0,0,0.000246124,0,0,0,0,0.000410206,0,0.000164082,0.002174091,0.001435721,0.00135368,0.001435721,0.000820412,0.001845927,0.001066535,0.000820412,0.000779391,0,0,0,0,0.000123062,0.000164082,8.20E-05,0,0,0,0,0,0,0,0,0,4.10E-05,0,0,0,0.000287144,0.00205103,0.000246124,0.000164082,0.000738371,0.000369185,0.000369185
p__Deinococcus_Thermus_c__Deinococci_o__Deinococcales_f__Trueperaceae,0,0,0,4.10E-05,0.000369185,0.000164082,8.20E-05,4.10E-05,0,0,4.10E-05,0,8.20E-05,4.10E-05,4.10E-05,0.000164082,0.000943474,4.10E-05,4.10E-05,8.20E-05,0,0,0,0,0.000328165,8.20E-05,0.000615309,0.000164082,0,0.006973501,4.10E-05,0,0,0,8.20E-05,0,0,0.000123062,4.10E-05,0,0,8.20E-05,4.10E-05,0.000246124,0.000123062,0,0,0.000533268,0.001189597,0.002133071,0.00209205,4.10E-05,4.10E-05,0
p__Cyanobacteria_c__Oxyphotobacteria_o__Synechococcales_f__Cyanobiaceae,0.000369185,0.000164082,0.000123062,0.000410206,0.000328165,0.000287144,0.000533268,0.000246124,4.10E-05,0.000205103,0.000287144,0.000369185,0.000451227,0.000779391,0.000246124,0.000328165,0.000615309,0.000246124,0.000246124,0.000287144,8.20E-05,0,0.000123062,8.20E-05,0.000656329,0.000410206,0.000164082,0.000246124,4.10E-05,0,0.000123062,0.000410206,0.000287144,8.20E-05,0.000205103,4.10E-05,0,4.10E-05,0.000328165,0,4.10E-05,0.000369185,0,0.000123062,0.000246124,0.000123062,0.000287144,0.000492247,0.000287144,0.000902453,0.000246124,0.000164082,0.003527771,0.000410206
