Domain,Phylum ,Class,Order,Family
OTU208,p__Planctomycetes,c__Planctomycetacia,o__,f__
OTU209,p__Actinobacteria,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteriaceae
OTU210,p__Armatimonadetes,c__,o__,f__
OTU211,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae
OTU212,p__Actinobacteria,c__Actinobacteria,o__Glycomycetales,f__Glycomycetaceae
OTU213,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Archangiaceae
OTU214,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__37-13
OTU215,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__env.OPS_17
OTU216,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae
OTU217,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__KD3-10
OTU218,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Kaistiaceae
OTU219,p__Deinococcus-Thermus,c__Deinococci,o__Thermales,f__Thermaceae
OTU220,p__Actinobacteria,c__Nitriliruptoria,o__Euzebyales,f__Euzebyaceae
OTU221,p__Chloroflexi,c__Anaerolineae,o__Caldilineales,f__Caldilineaceae
OTU222,p__Proteobacteria,c__Deltaproteobacteria,o__MBNT15,f__
OTU223,p__Cyanobacteria,c__Sericytochromatia,o__,f__
OTU224,p__Halanaerobiaeota,c__Halanaerobiia,o__Halanaerobiales,f__Halanaerobiaceae
OTU225,p__Actinobacteria,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae
OTU226,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__
OTU227,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae
OTU228,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__D05-2
OTU229,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Promicromonosporaceae
OTU230,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Amb-16S-1323
OTU231,p__Proteobacteria,c__Gammaproteobacteria,o__R7C24,f__
OTU232,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae
OTU233,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae
OTU234,p__Proteobacteria,c__Gammaproteobacteria,o__211ds20,f__
OTU235,p__Latescibacteria,c__Latescibacteria,o__Latescibacterales,f__Latescibacteraceae
OTU236,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__A21b
OTU237,p__Proteobacteria,c__Alphaproteobacteria,o__Sneathiellales,f__Sneathiellaceae
OTU238,p__Acidobacteria,c__Subgroup_6,o__uncultivated_soil_bacterium_clone_C028,f__
OTU239,p__Proteobacteria,c__Alphaproteobacteria,o__Holosporales,f__Holosporaceae
OTU240,p__Planctomycetes,c__Planctomycetacia,o__Gemmatales,f__Gemmataceae
