Taxa,CCCHF2,CCCHF3,CCCHF5,CCCSF1,CCCSF3,CCCSF4,CCMEF1,CCMEF4,CCMEF5,HDCHF2,HDCHF4,HDCHF5,HDCSF1,HDCSF2,HDCSF4,HDMEF2,HDMEF3,HDMEF5,HSPCHF1,HSPCHF2,HSPCHF3,HSPCSF2,HSPCSF3,HSPCSF5,HSPMEF3,HSPMEF4,HSPMEF5,SSBCHF1,SSBCHF3,SSBCHF4,SSBCSF1,SSBCSF3,SSBCSF4,SSBMEF2,SSBMEF4,SSBMEF5,XGCHF1,XGCHF3,XGCHF4,XGCSF1,XGCSF2,XGCSF3,XGMEF1,XGMEF2,XGMEF3,YSCHF1,YSCHF4,YSCHF5,YSCSF1,YSCSF3,YSCSF5,YSMEF1,YSMEF3,YSMEF4
g__Sphingomonas_s__,0.02703257,0.031298712,0.020387234,0.030232177,0.030806465,0.032488309,0.026950529,0.026376241,0.018336205,0.002379194,0.004389203,0.006563295,0.016818443,0.01525966,0.001189597,0.016039052,0.015177619,0.015751907,0.015710887,0.018049061,0.018090081,0.020633358,0.019279678,0.017105587,0.024079088,0.020387234,0.017802937,0.034293215,0.034334236,0.014931496,0.028304209,0.029329724,0.033349742,0.030642382,0.031585856,0.03113463,0.029329724,0.031667897,0.033185659,0.033103618,0.034170153,0.030970547,0.032119124,0.033390762,0.027278694,0.03113463,0.011978013,0.005906965,0.018295184,0.01525966,0.020674379,0.018828452,0.018172122,0.018582328
s__Sphingomonas_sp,0.000615309,0.000861432,0.000205103,0.000410206,0.000861432,0.000369185,0.000574288,0.000492247,0.000369185,0,8.20E-05,0,0,0,4.10E-05,0,0,8.20E-05,0,0,0,0,0,8.20E-05,8.20E-05,4.10E-05,0,0.000492247,0.000492247,0,0.000287144,0.000328165,0.000410206,0.000574288,0.001025515,0.000574288,0.001107556,0.000615309,0.00069735,0.000779391,0.001107556,0.000574288,0.000369185,0.00069735,0.000410206,0,0,0,0.000451227,0,0,8.20E-05,0,4.10E-05
s__Sphingomonadaceae_bacterium_ZC8,0.000164082,0.000123062,0.000205103,0.000205103,0.000205103,0.000492247,0.000246124,8.20E-05,0,4.10E-05,4.10E-05,0,0.000123062,0.000246124,0,0.000123062,0.000123062,0,4.10E-05,0,8.20E-05,0,8.20E-05,0.00069735,0.001148577,0.000574288,0.00069735,0.000123062,8.20E-05,0.000943474,0.000246124,0.000205103,4.10E-05,0,0,0.000123062,0.000164082,0,4.10E-05,0,4.10E-05,0,4.10E-05,0.000164082,0.000123062,0.001107556,0.000123062,0,0.000328165,8.20E-05,0.000205103,0.000164082,4.10E-05,4.10E-05
