,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,features,group
C22_beta_Cyclocitral,-0.21914113,-0.118149929,-0.098709932,0.003550308,0.186620728,-0.141604447,0.111915119,-0.074716832,-0.11093253,-0.056074661,0.111570572,-0.026007415,-0.139528665,0.185733084,0.138275708,-0.248847265,-0.052378207,0.124604521,-0.168968618,-0.111173998,-0.093217236,0.185791615,-0.212924478,-0.058722557,0.168926081,-0.075122708,-0.168293656,0.245177409,0.463450094,0.108547653,-0.27156313,-0.029930629,-0.213168981,-0.107771973,-0.033503703,-0.159442628,-0.181292301,-0.014987169,beta_Cyclocitral,Aroma
C_4_Propyl_Benzaldehyde,0.091415646,0.0398166,0.137163867,0.108724885,0.40349038,0.161233911,0.034625874,-0.438176792,0.305912655,0.072960059,-0.090255442,-0.077906012,0.096448655,0.317398624,0.141599795,0.357006679,-0.051440531,0.087960462,-0.159542175,0.014997877,-0.000891577,0.004979588,0.035727662,-0.067727706,-0.052628678,0.06924915,-0.089718407,-0.132374519,0.114647445,-0.116497304,0.11381903,0.031201235,-0.177141589,0.099953937,-0.168471882,0.139580013,0.026232731,0.033144119,4_Propyl_Benzaldehyde,Aroma
C10_Eucalyptol,0.135340676,-0.184727057,-0.179566844,0.292662865,-0.0588561,-0.077931782,-0.123274848,0.141198118,-0.122165399,-0.149602871,0.031707903,-0.182502162,0.125004335,0.117147819,-0.059331228,-0.043754989,-0.453921664,-0.010395508,-0.086280634,0.055543943,0.065471112,0.016687233,0.320203439,0.235412507,-0.056313357,-0.347185273,-0.052020008,-0.098872262,0.157831738,-0.196432089,-0.019979279,0.107748117,0.124965712,-0.01409461,-0.234633259,0.114999037,-0.0597571,0.005808508,Eucalyptol,Aroma
C32_trans_2_Pentenal,0.140026588,0.07034643,-0.090826059,0.370453046,-0.202083885,-0.109348476,0.098618449,-0.149998212,-0.20470204,-0.041829697,0.014919581,0.103958927,-0.139356502,-0.2853291,-0.018425155,0.177261117,0.043383849,0.175457804,0.080360872,-0.331648126,0.425580408,0.001027182,-0.248731721,-0.029845964,0.005365646,0.085740368,0.047389344,-0.058156244,0.202493441,-0.204818808,0.108687539,-0.120063581,-0.123195128,0.145652955,-0.074789745,0.021752667,0.004208042,-0.001264547,trans_2_Pentenal,Aroma
C1_Hexanal,-0.034485321,0.286970488,-0.101696082,0.123551695,0.079842875,0.114966788,-0.315993796,0.029756754,0.027439662,-0.153049491,-0.11138768,0.426131154,-0.355321973,0.212774338,0.116655799,-0.044156218,0.040667805,-0.06604984,0.069462573,0.074761639,-0.050996572,-0.053341693,0.116186195,0.103471883,0.04972641,0.154592128,0.194482714,0.334416237,0.156032575,-0.232980122,0.008730943,0.034656411,0.209909072,-0.037703437,-0.052211712,0.107107209,0.05757931,0.015911314,Hexanal,Aroma
C2_cis_3_Hexenal,0.056452053,0.285267869,-0.115643264,0.280088878,-0.118044082,-0.064709549,-0.038373947,0.088074639,0.002776268,-0.029964323,0.263368521,0.001436237,0.002974131,-0.159715155,0.154609849,0.259390594,0.220417668,0.290963031,-0.005423682,0.145373536,-0.286050821,-0.006444519,0.125218511,-0.092781983,0.031664488,-0.028013508,-0.48749467,0.068504234,-0.160977319,0.054640771,-0.225859619,0.086804395,0.017938954,-0.0574691,-0.075812592,0.087678215,0.005246036,0.007646303,cis_3_Hexenal,Aroma
C6_trans_2_Hexenal,-0.120827198,0.203852906,-0.148059935,0.26495113,0.0018237,0.022655311,-0.153988293,0.07619358,0.229118567,-0.265217664,0.323786279,0.164055346,0.086606787,0.15819648,0.032980661,-0.154813046,-0.15431263,-0.091239719,-0.044280136,-0.287731288,-0.141226786,-0.014082806,-0.066714925,-0.191200138,0.066969002,-0.102861633,0.129148803,-0.298082046,-0.124582834,0.259625919,0.277790437,-0.066993783,-0.140224764,0.05313328,0.131242341,-0.080996229,8.58E-05,-0.005534366,trans_2_Hexenal,Aroma
C33_Heptanal,0.169746333,0.140223372,-0.082983872,0.260006072,0.016852676,0.098789991,-0.005310893,-0.365267613,-0.013111379,0.211006577,-0.084431114,0.053695756,-0.201058351,-0.085064717,-0.143873839,-0.190993128,0.134673335,-0.408162775,-0.033626505,0.069525594,-0.127462077,0.050237511,-0.106370384,0.381133904,-0.140833247,-0.174697444,-0.121730933,-0.163033222,-0.067455488,0.19398067,-0.150346645,-0.160332299,-0.010537151,-0.043217213,-0.053460475,-0.102569186,-0.101415803,0.008148381,Heptanal,Aroma
C8_1_Octen_3_ol,0.0950239,-0.29963073,-0.0474509,0.148420494,0.043222528,-0.044254671,0.103408865,-0.000449923,0.003943186,-0.020956598,-0.012595534,0.281130897,0.460092244,-0.115229831,0.398251019,-0.150994745,0.280787702,-0.242663766,0.158149999,-0.001344368,0.006827598,0.124906956,0.276344512,0.002569739,0.081939889,0.177334118,-0.020924753,0.00225751,0.16913034,0.097602316,0.029199359,-0.14076915,0.047964772,0.077417732,-0.069027453,0.098303864,-0.03070645,0.023359681,1_Octen_3_ol,Aroma
C11_Benzaldehyde,-0.191055417,-0.108640018,-0.046335955,-0.12913191,0.190049586,0.107647022,-0.168882855,0.038538458,-0.078175699,-0.175574889,-0.26776193,0.426174421,0.217040185,-0.08763833,-0.302454839,0.251790718,-0.023619697,-0.084839042,-0.039018722,-0.302554368,0.040824319,0.173932323,-0.12183921,-0.047600485,0.040542615,-0.147773096,-0.254836616,-0.070311052,-0.153200974,-0.030282445,-0.243656229,0.095968815,0.077826609,-0.023149336,-0.107338615,-0.011101652,-0.024396427,0.014988952,Benzaldehyde,Aroma
C14_trans_2_Octenal,-0.017899445,-0.178622495,-0.185497489,0.274299456,0.364038304,-0.074270212,-0.130074024,-0.110285092,0.069780772,0.003572902,0.002296506,-0.008095091,0.115297587,-0.330234602,-0.279211377,-0.295779533,0.164702298,0.135214034,-0.275915736,0.15643281,0.009296325,-0.162561471,0.011025298,-0.173812146,-0.165906705,0.067543868,0.113103237,0.159844086,-0.068595148,-0.135628755,0.065118622,0.251461166,-0.050171522,-0.037580842,0.169212027,-0.013593058,0.040056338,0.006794715,trans_2_Octenal,Aroma
C35_Limonene,-0.25390852,-0.016174727,0.075853417,0.078185522,-0.125935409,0.083767517,-0.064932285,-0.05089345,-0.049187202,0.016728782,-0.065939275,-0.005040472,-0.090015907,-0.069113902,0.088779483,0.050078141,-0.034150532,-0.096039441,-0.113333244,0.068832359,0.090128139,0.226132366,0.267001937,-0.013229589,-0.13001926,-0.032927009,-0.16285543,0.093593208,0.061797325,0.046780912,0.134238275,0.101505537,-0.105151204,0.23311251,-0.001826013,-0.491562245,0.504921981,-0.234730598,Limonene,Aroma
C16_Linalool,-0.226105345,0.024389145,0.141863052,0.079390339,-0.159731908,0.07868702,-0.13198546,-0.095075529,0.05076473,-0.212507126,-0.051750493,-0.31458596,0.042762941,-0.025117212,0.010708222,-0.250008191,0.08095929,-0.042874477,0.083182474,-0.064864297,-0.156054796,0.077491036,-0.124596943,-0.229574943,-0.205542227,0.240573728,0.069828901,-0.0722931,-0.085731835,-0.182373659,-0.17440308,-0.041334986,0.177171855,0.17229298,-0.500561004,-0.092404426,-0.117015533,0.119568578,Linalool,Aroma
