id,c_Subgroup_6_g_,f_Enterobacteriaceae_g_Pantoea,f_Pseudomonadaceae_g_Pseudomonas,f_Gemmatimonadaceae_g_,o_Rokubacteriales_g_,f_Sphingomonadaceae_g_Sphingomonas,f_Moraxellaceae_g_Cavicella,f_Nitrospiraceae_g_Nitrospira,f_Muribaculaceae_g_,f_Lachnospiraceae_g_,f_Nitrosomonadaceae_g_MND1,f_Gemmatimonadaceae_g_Gemmatimonas,f_Enterobacteriaceae_g_,f_Bacillaceae_g_Bacillus,c_S0134_terrestrial_group_g_,f_Haliangiaceae_g_Haliangium,f_Atopobiaceae_g_
XGCHF3,0.129378948,0.000984494,0.004020018,0.039338748,0.015751907,0.032283206,0.035646895,0.019484781,0.024694397,0.024284191,0.015505784,0.018049061,0.003281647,0.003691853,0.000369185,0.009065551,0.022520305
XGCHF4,0.131799163,0.004676348,0.003609812,0.035400771,0.016121093,0.03392403,0.03392403,0.018992534,0.02010009,0.021904996,0.014029043,0.016367216,0.001599803,0.003691853,0.000615309,0.008081057,0.02149479
XGCSF1,0.126917713,0.001312659,0.003937977,0.038846501,0.016572319,0.033883009,0.031749938,0.019484781,0.028796456,0.022479285,0.01525966,0.017146608,0.001722865,0.003773894,8.20E-05,0.009926983,0.017720896
XGCSF2,0.127779145,0.002174091,0.002953483,0.037451801,0.016080072,0.03531873,0.032365247,0.019443761,0.02424317,0.023217655,0.00972188,0.016859463,0.00135368,0.004225121,0.000943474,0.008081057,0.022110099
XGCSF3,0.128722619,0.000984494,0.003363689,0.037328739,0.017884978,0.031544836,0.034211174,0.017597834,0.025350726,0.021330708,0.013454754,0.01866437,0.001189597,0.004799409,0.000943474,0.008245139,0.024981541
XGMEF1,0.131306916,0.002297153,0.00488145,0.037944048,0.018418246,0.03252933,0.031503815,0.017802937,0.021822955,0.019033555,0.013413734,0.02005907,0.001968988,0.004799409,0.000574288,0.007793913,0.021946017
XGMEF2,0.129460989,0.001640824,0.003240627,0.041758963,0.016777422,0.034252195,0.029452785,0.018131102,0.024530314,0.020223152,0.014726393,0.01731069,0.001312659,0.004348183,0.000861432,0.011034539,0.020961523
XGMEF3,0.137049799,0.000820412,0.00274838,0.039092624,0.014767413,0.027811962,0.035031586,0.018910493,0.023504799,0.022233161,0.015013537,0.015464763,0.0013947,0.004389203,0.001271638,0.008614324,0.020469276
YSCHF1,0.01312659,0.003855936,0.033677906,0.000943474,0.004102059,0.032242186,0,0.004963492,0.015464763,0.016449258,0.001763885,4.10E-05,0.01107556,0.008040036,0,0,0
YSCHF4,0.003363689,0.001558783,0.016367216,0.000943474,0.001312659,0.012101075,0,0.002256133,0.003691853,0.001148577,0.000451227,8.20E-05,0.001722865,0.003855936,0,0.000656329,8.20E-05
YSCHF5,0.023709902,0.746984986,0.002174091,0.015382722,0.014685372,0.005906965,4.10E-05,0.00414308,0.000902453,0.000246124,0.003240627,0.002502256,0.000656329,0.000861432,0.007055542,0.004266142,8.20E-05
YSCSF1,0.103043728,0.002297153,0.003691853,0.050291246,0.058700468,0.019074575,0.000287144,0.016367216,0.002953483,0.002338174,0.013372713,0.010173107,0.030970547,0.006563295,0.030929527,0.015874969,0.000123062
YSCSF3,0.102961687,0.002297153,0.007055542,0.064115186,0.063212733,0.015341702,0.000246124,0.017761916,0.003978997,0.001681844,0.018541308,0.013741898,0.022561326,0.003691853,0.030519321,0.017884978,0.000328165
YSCSF5,0.087784068,0.034375256,0.006317171,0.056526376,0.062679465,0.020879481,0.000205103,0.016039052,0.002461236,0.001599803,0.013536795,0.009188613,0.02424317,0.001804906,0.031298712,0.018787431,0.000246124
YSMEF1,0.107514973,0.011280663,0.004020018,0.052014111,0.050988596,0.019074575,0.001558783,0.016408237,0.004594306,0.002707359,0.015833949,0.006768398,0.002707359,0.008245139,0.020920502,0.01661334,0.000902453
YSMEF3,0.084707523,0.013003528,0.005701862,0.049060628,0.052875544,0.018213143,0.000328165,0.01521864,0.002707359,0.001845927,0.014603331,0.008778407,0.001927968,0.006153089,0.02699155,0.015792928,0.000369185
YSMEF4,0.117565018,0.011690869,0.006194109,0.063171712,0.056198212,0.01866437,8.20E-05,0.015054557,0.005045533,0.001886947,0.015054557,0.010009025,0.002256133,0.002420215,0.028263188,0.016859463,0.000123062
