id,K,Hotrienol,pH,cis_3_Hexenal,Nerol_oxide,beta_Ionone,trans_2_Octenal,p_Cymene,trans_2_Pentenal,trans_2_Hexenal
XGMEF1,13.09801505,0.303951643,3.84,621.3040911,0.101401794,0.000452001,1.064339993,0.01305119,3.906053209,1584.70735
XGMEF2,12.90995692,0.501019463,3.9,496.6585432,0.088997237,0.000565279,1.053566453,0.015699882,3.885540603,1230.076125
XGMEF3,12.68324817,0.49819629,3.81,591.8490363,0.113806351,0.000480696,0.896397047,0.020655634,3.675233937,1406.020758
YSCHF1,11.82,0.113947469,3.23,268.7274383,0.046672564,0.005239625,0.832951589,0.007756464,1.223935814,1533.166628
YSCHF4,10.89,0.140439172,3.21,340.7723684,0.059883499,0.005616595,1.05073988,0.01255763,1.243097527,1604.578869
YSCHF5,11.34,0.166930873,3.23,292.6525872,0.073094434,0.005341572,0.858229619,0.009210878,1.133592171,1503.820904
YSCSF1,8.16,0.232902665,3.4,254.2323816,0.065923079,0.003059387,0.817331909,0.017428039,1.580868564,1200.498785
YSCSF3,9.69,0.25124318,3.36,201.3022424,0.06252724,0.002681182,1.036709284,0.018741021,1.436697961,1024.885122
YSCSF5,8.24,0.252582413,3.35,191.185531,0.054553319,0.001964993,0.927020597,0.014030422,1.693252979,994.34462
YSMEF1,10.98960701,0.213899691,3.39,739.2108034,0.04570858,0.002779416,0.64439061,0.012832036,4.400004077,1328.915091
YSMEF3,10.14841358,0.232500463,3.34,524.1974103,0.041292298,0.001777005,0.455275775,0.012930299,3.102469208,1018.882039
YSMEF4,11.63033335,0.19529892,3.35,610.2432836,0.050124861,0.002528054,0.46937453,0.009524682,2.700622525,1189.495457
