,Kingdom,Phylum,Class,Order,Family
OTU1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae
OTU10,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae
OTU100,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae
OTU1000,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1001,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae
OTU1002,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU10029,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU1003,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU1004,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Shewanellaceae
OTU1007,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1008,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
OTU1009,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU101,k__Bacteria,p__Rokubacteria,c__NC10,o__Rokubacteriales,f__
OTU1010,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Coleofasciculaceae
OTU10101,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
OTU1011,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__,f__
OTU1013,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__
OTU1014,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU1015,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae
OTU10161,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1017,k__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae
OTU10171,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU10172,k__Bacteria,p__Chloroflexi,c__KD4-96,o__,f__
OTU1018,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__,f__
OTU102,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU1020,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__
OTU1021,k__Bacteria,p__Chloroflexi,c__P2-11E,o__,f__
OTU1023,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Cellulomonadaceae
OTU10233,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Coxiellales,f__Coxiellaceae
OTU1024,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU1025,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b
OTU1026,k__Bacteria,p__Latescibacteria,c__Latescibacteria,o__Latescibacterales,f__Latescibacteraceae
OTU1027,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU1028,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae
OTU1029,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__11-24,f__
OTU103,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae
OTU1030,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae
OTU10302,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae
OTU1031,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__
OTU1032,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae
OTU1033,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae
OTU1034,k__Bacteria,p__Acidobacteria,c__Subgroup_17,o__,f__
OTU1035,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
OTU1036,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__,f__
OTU10369,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
OTU1037,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__,f__
OTU1038,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
OTU10382,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SC-I-84
OTU10387,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU1039,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Ardenticatenales,f__
OTU104,k__Bacteria,p__Rokubacteria,c__NC10,o__Rokubacteriales,f__
OTU1040,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU1041,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1042,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__
OTU1044,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae
OTU1045,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae
OTU10456,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae
OTU1046,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1047,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae
OTU10479,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae
OTU1048,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__PeM15,f__
OTU1049,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae
OTU105,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
OTU1050,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae
OTU1051,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae
OTU1055,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
OTU1056,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__
OTU1058,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Sandaracinaceae
OTU1059,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Nannocystaceae
OTU106,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU1060,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sneathiellales,f__Sneathiellaceae
OTU1061,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU1062,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae
OTU10632,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__,f__
OTU1064,k__Bacteria,p__Acidobacteria,c__Subgroup_5,o__,f__
OTU1065,k__Bacteria,p__Rokubacteria,c__NC10,o__Rokubacteriales,f__
OTU1066,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae
OTU1067,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__
OTU1068,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__A0839
OTU1069,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU10691,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae
OTU107,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae
OTU1071,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU1072,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
OTU1073,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__P3OB-42
OTU1074,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
OTU1075,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU1076,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae
OTU10763,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1077,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae
OTU1078,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae
OTU1079,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae
OTU108,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae
OTU1080,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__
OTU1081,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Acidaminococcaceae
OTU1082,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__
OTU1083,k__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae
OTU1084,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae
OTU1086,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__,f__
OTU10869,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1087,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__11-24,f__
OTU1089,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU109,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae_1
OTU1090,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae
OTU1092,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__11-24,f__
OTU1093,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__
OTU1095,k__Bacteria,p__Gemmatimonadetes,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae
OTU1097,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae
OTU1099,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU11,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae
OTU110,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae
OTU1101,k__Bacteria,p__Acidobacteria,c__Subgroup_17,o__,f__
OTU1102,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae
OTU1103,k__Bacteria,p__Actinobacteria,c__Nitriliruptoria,o__Euzebyales,f__Euzebyaceae
OTU1104,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Dermabacteraceae
OTU1106,k__Bacteria,p__Gemmatimonadetes,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae
OTU1107,k__Bacteria,p__Chloroflexi,c__TK10,o__bacterium_Ellin6543,f__
OTU11079,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__TRA3-20
OTU1108,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__,f__
OTU1109,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae
OTU111,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1112,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__,f__
OTU1113,k__Bacteria,p__Acidobacteria,c__Subgroup_17,o__,f__
OTU1115,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptosporangiales,f__Nocardiopsaceae
OTU1116,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1117,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae
OTU1118,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfarculales,f__Desulfarculaceae
OTU1119,k__Bacteria,p__Actinobacteria,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteriaceae
OTU112,k__Bacteria,p__Acidobacteria,c__Subgroup_25,o__,f__
OTU1120,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__11-24,f__
OTU1121,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1123,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
OTU1124,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__
OTU1125,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__
OTU1126,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae
OTU1127,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__Acidobacteria_bacterium_IGE-010,f__
OTU1128,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae
OTU1129,k__Bacteria,p__Acidobacteria,c__Subgroup_17,o__,f__
OTU113,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae
OTU1130,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__KD3-10
OTU1131,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Actinomarinales,f__
OTU11318,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__
OTU11319,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU1133,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae
OTU11335,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1135,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
OTU1136,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__
OTU1137,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae
OTU1138,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU1139,k__Bacteria,p__Rokubacteria,c__NC10,o__Rokubacteriales,f__bacterium_WX65
OTU114,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae
OTU1140,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae
OTU11403,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU1141,k__Bacteria,p__Chloroflexi,c__JG30-KF-CM66,o__,f__
OTU1143,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae
OTU11430,k__Bacteria,p__Acidobacteria,c__Holophagae,o__Subgroup_7,f__
OTU1144,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__,f__
OTU1145,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU11462,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__,f__
OTU1147,k__Bacteria,p__Chloroflexi,c__TK10,o__,f__
OTU1148,k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__AKYG1722
OTU115,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
OTU1150,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU1151,k__Bacteria,p__Latescibacteria,c__,o__,f__
OTU1152,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1153,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae
OTU1154,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae
OTU1155,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae
OTU1156,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU116,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae
OTU1160,k__Bacteria,p__Chloroflexi,c__JG30-KF-CM66,o__,f__
OTU1163,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__
OTU11637,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__,f__
OTU1164,k__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae
OTU11650,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU1167,k__Bacteria,p__Acidobacteria,c__Subgroup_17,o__,f__
OTU1168,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b
OTU1169,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae
OTU117,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
OTU1170,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae
OTU1171,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae
OTU1172,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU1173,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU1174,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1175,k__Bacteria,p__Actinobacteria,c__,o__,f__
OTU1176,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1177,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__Acidobacteria_bacterium_IGE-010,f__
OTU11773,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU11787,k__Bacteria,p__Acidobacteria,c__Subgroup_17,o__,f__
OTU118,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae
OTU1180,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultivated_soil_bacterium_clone_C028,f__
OTU1182,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae
OTU1183,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1184,k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45
OTU1185,k__Bacteria,p__Chloroflexi,c__SHA-26,o__,f__
OTU1186,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae
OTU11868,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__
OTU1187,k__Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Trueperaceae
OTU1188,k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45
OTU1189,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__
OTU11894,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU119,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1191,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__
OTU1192,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__,f__
OTU1193,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae
OTU11938,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
OTU1194,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae_1
OTU1195,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Nannocystaceae
OTU11966,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__
OTU1197,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU1198,k__Bacteria,p__Acidobacteria,c__Subgroup_5,o__,f__
OTU1199,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__
OTU11996,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU12,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae
OTU120,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae
OTU1202,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae
OTU1204,k__Bacteria,p__Chloroflexi,c__KD4-96,o__,f__
OTU1205,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU12054,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__
OTU1206,k__Bacteria,p__Armatimonadetes,c__Chthonomonadetes,o__Chthonomonadales,f__
OTU1207,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__BIrii41
OTU12077,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae
OTU121,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__
OTU1210,k__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__S085,f__
OTU1213,k__Bacteria,p__Acidobacteria,c__,o__,f__
OTU1214,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae
OTU1215,k__Bacteria,p__Acidobacteria,c__Subgroup_18,o__,f__
OTU1216,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
OTU1217,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae
OTU12171,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
OTU1218,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__
OTU122,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae
OTU1220,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae
OTU1221,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1222,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__
OTU1223,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae
OTU1224,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Sandaracinaceae
OTU1226,k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45
OTU1227,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU1228,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU123,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU1230,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae
OTU1231,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae
OTU1232,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Kaistiaceae
OTU1235,k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__AKYG1722
OTU12355,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae
OTU1236,k__Bacteria,p__Armatimonadetes,c__Armatimonadia,o__Armatimonadales,f__
OTU1237,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae
OTU1239,k__Bacteria,p__Acidobacteria,c__Subgroup_25,o__,f__
OTU124,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae
OTU1241,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Salinisphaerales,f__Solimonadaceae
OTU1242,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae
OTU12423,k__Bacteria,p__Chloroflexi,c__KD4-96,o__,f__
OTU1243,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__C0119,f__
OTU1244,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__DS-100,f__
OTU12447,k__Bacteria,p__Chloroflexi,c__KD4-96,o__,f__
OTU12457,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1246,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae
OTU1247,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b
OTU1248,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Sandaracinaceae
OTU12489,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae
OTU1249,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Sandaracinaceae
OTU125,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
OTU1250,k__Bacteria,p__Acidobacteria,c__Subgroup_18,o__,f__
OTU1251,k__Bacteria,p__Chloroflexi,c__Gitt-GS-136,o__,f__
OTU1252,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__11-24,f__uncultivated_soil_bacterium_clone_S111
OTU1253,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__BIrii41
